Positions of every atom, in reduced units, for every time step
-4.85, 4.85, -2.40
-2.61, 2.59, -2.64
-2.45, 5.09, 0.08
-0.06, 2.35, -0.12
-0.12, 4.82, -2.18
2.45, 2.21, -2.40
2.65, 5.09, 0.05
5.02, 2.51, -0.07
4.91, 4.86, -2.55
-7.41, -7.45, 2.51
-7.31, -4.95, 4.89
-4.94, -7.57, 4.86
-4.97, -4.84, 2.48
-2.46, -7.29, 2.43
-2.51, -4.88, 5.04
0.03, -7.55, 5.09
0.11, -4.95, 2.54
2.51, -7.46, 2.42
2.30, -4.93, 4.95
5.01, -7.38, 4.84
4.89, -4.93, 2.40
-7.36, -2.51, 2.50
-7.34, -0.07, 5.09
-4.90, -2.48, 4.87
-4.97, 0.04, 2.42
-2.52, -2.33, 2.40
-2.56, -0.04, 4.92
0.13, -2.50, 4.84
-0.08, -0.13, 2.29
2.52, -2.55, 2.47
2.41, 0.20, 4.94
4.78, -2.40, 4.93
4.84, 0.04, 2.56
-7.41, 2.64, 2.57
-7.42, 4.84, 4.93
-4.77, 2.30, 4.91
-4.92, 4.82, 2.27
-2.60, 2.23, 2.58
-2.47, 4.82, 4.86
-0.00, 2.49, 5.07
0.08, 4.89, 2.43
2.42, 2.31, 2.58
2.43, 4.81, 4.89
4.85, 2.47, 4.95
5.04, 5.17, 2.40
 
-7.55, -7.39, -7.42
-7.50, -4.65, -4.86
-4.83, -7.43, -4.76
-5.06, -4.75, -7.30
-2.49, -7.45, -7.35
-2.40, -4.98, -4.98
0.07, -7.48, -4.93
-0.19, -4.81, -7.47
2.59, -7.38, -7.52
2.51, -4.88, -5.02
4.74, -7.54, -4.78
4.83, -5.07, -7.45
-7.56, -2.40, -7.44
-7.40, -0.03, -4.98
-4.95, -2.46, -4.89
-4.79, 0.03, -7.28
-2.28, -2.36, -7.48
-2.41, -0.02, -4.87
0.04, -2.48, -4.78
-0.04, -0.01, -7.47
2.45, -2.61, -7.48
2.59, -0.11, -4.95
5.07, -2.48, -4.90
4.87, 0.03, -7.38
-7.40, 2.39, -7.33
-7.23, 4.78, -5.00
-4.73, 2.37, -4.94
-4.91, 5.04, -7.50
-2.59, 2.42, -7.47
-2.52, 5.10, -4.70
0.08, 2.39, -4.91
0.07, 4.87, -7.40
2.53, 2.59, -7.38
2.28, 4.79, -4.97
5.00, 2.55, -4.90
5.02, 5.00, -7.35
-7.45, -7.35, -2.42
-7.26, -4.88, -0.01
-4.91, -7.60, -0.06
-4.85, -4.76, -2.48
-2.58, -7.47, -2.64
-2.30, -4.79, -0.11
0.15, -7.36, -0.04
-0.02, -5.00, -2.54
2.49, -7.33, -2.43
2.27, -4.80, -0.04
4.82, -7.22, 0.02
5.14, -5.04, -2.45
-7.49, -2.31, -2.44
-7.43, -0.00, 0.09
-4.85, -2.41, -0.00
-4.82, 0.20, -2.45
-2.50, -2.64, -2.26
-2.60, 0.02, 0.01
-0.00, -2.45, -0.05
0.05, 0.00, -2.58
2.45, -2.30, -2.29
2.40, -0.00, 0.05
5.08, -2.33, -0.06
4.83, 0.19, -2.61
-7.53, 2.49, -2.54
-7.42, 4.91, -0.03
-4.92, 2.45, 0.08
-4.85, 4.85, -2.39
-2.61, 2.59, -2.65
-2.45, 5.09, 0.08
-0.07, 2.34, -0.13
-0.13, 4.81, -2.17
2.45, 2.20, -2.40
2.66, 5.10, 0.06
5.02, 2.51, -0.07
4.91, 4.85, -2.56
-7.41, -7.45, 2.51
-7.30, -4.95, 4.89
-4.95, -7.58, 4.86
-4.97, -4.83, 2.48
-2.46, -7.29, 2.43
-2.52, -4.87, 5.05
0.03, -7.56, 5.10
0.12, -4.95, 2.54
2.51, -7.46, 2.42
2.30, -4.93, 4.95
5.01, -7.38, 4.84
4.89, -4.93, 2.39
-7.35, -2.51, 2.50
-7.34, -0.07, 5.09
-4.90, -2.48, 4.87
-4.98, 0.04, 2.41
-2.52, -2.33, 2.39
-2.56, -0.04, 4.92
0.13, -2.50, 4.83
-0.08, -0.13, 2.28
2.53, -2.55, 2.47
2.41, 0.21, 4.94
4.77, -2.40, 4.93
4.84, 0.04, 2.56
-7.41, 2.65, 2.58
-7.42, 4.84, 4.93
-4.76, 2.30, 4.90
-4.92, 4.81, 2.27
-2.61, 2.22, 2.59
-2.47, 4.81, 4.86
-0.00, 2.50, 5.08
0.08, 4.89, 2.43
2.42, 2.30, 2.59
2.43, 4.81, 4.89
4.85, 2.47, 4.95
5.05, 5.18, 2.39
 
-7.56, -7.39, -7.42
-7.51, -4.64, -4.86
-4.83, -7.43, -4.75
-5.07, -4.74, -7.29
-2.49, -7.45, -7.35
-2.40, -4.98, -4.99
0.07, -7.49, -4.93
-0.19, -4.80, -7.48
2.59, -7.38, -7.52
2.51, -4.88, -5.02
4.73, -7.54, -4.78
4.82, -5.07, -7.46
-7.57, -2.40, -7.44
-7.40, -0.03, -4.98
-4.96, -2.46, -4.89
-4.79, 0.03, -7.28
-2.27, -2.35, -7.49
-2.41, -0.02, -4.86
0.04, -2.48, -4.77
-0.04, -0.01, -7.48
2.45, -2.61, -7.48
2.60, -0.11, -4.95
5.08, -2.48, -4.90
4.86, 0.03, -7.38
-7.40, 2.39, -7.33
-7.23, 4.77, -5.00
-4.72, 2.37, -4.94
-4.91, 5.04, -7.50
-2.59, 2.42, -7.47
-2.52, 5.10, -4.69
0.08, 2.38, -4.91
0.07, 4.87, -7.40
2.53, 2.59, -7.38
2.27, 4.79, -4.97
5.00, 2.55, -4.90
5.02, 5.00, -7.35
-7.45, -7.35, -2.42
-7.25, -4.87, -0.01
-4.90, -7.61, -0.06
-4.84, -4.76, -2.48
-2.59, -7.48, -2.65
-2.30, -4.79, -0.12
0.16, -7.35, -0.05
-0.02, -5.00, -2.55
2.49, -7.33, -2.43
2.27, -4.80, -0.04
4.82, -7.21, 0.02
5.15, -5.04, -2.45
-7.50, -2.31, -2.44
-7.43, -0.00, 0.09
-4.84, -2.41, -0.00
-4.81, 0.21, -2.45
-2.51, -2.65, -2.25
-2.60, 0.02, 0.01
-0.00, -2.45, -0.05
0.05, 0.00, -2.58
2.45, -2.30, -2.28
2.40, -0.00, 0.05
5.09, -2.32, -0.06
4.83, 0.20, -2.62
-7.53, 2.49, -2.55
-7.42, 4.91, -0.03
-4.92, 2.45, 0.08
-4.85, 4.84, -2.39
-2.62, 2.60, -2.66
-2.45, 5.10, 0.08
-0.07, 2.34, -0.13
-0.13, 4.81, -2.16
2.45, 2.18, -2.40
2.67, 5.11, 0.06
5.02, 2.52, -0.07
4.91, 4.85, -2.56
-7.41, -7.45, 2.51
-7.30, -4.95, 4.88
-4.95, -7.58, 4.85
-4.98, -4.83, 2.48
-2.46, -7.28, 2.43
-2.52, -4.87, 5.05
0.03, -7.57, 5.10
0.12, -4.95, 2.54
2.51, -7.46, 2.42
2.29, -4.94, 4.95
5.01, -7.38, 4.83
4.89, -4.93, 2.39
-7.35, -2.51, 2.51
-7.33, -0.08, 5.10
-4.90, -2.48, 4.87
-4.98, 0.04, 2.41
-2.53, -2.32, 2.39
-2.57, -0.04, 4.92
0.14, -2.50, 4.83
-0.09, -0.14, 2.27
2.53, -2.56, 2.47
2.41, 0.21, 4.94
4.76, -2.39, 4.93
4.83, 0.04, 2.57
-7.41, 2.66, 2.58
-7.42, 4.84, 4.93
-4.75, 2.29, 4.90
-4.92, 4.81, 2.26
-2.61, 2.20, 2.59
-2.47, 4.81, 4.85
-0.00, 2.50, 5.09
0.08, 4.89, 2.43
2.42, 2.30, 2.59
2.43, 4.80, 4.89
4.85, 2.47, 4.95
5.05, 5.19, 2.39
 
-7.56, -7.39, -7.42
-7.51, -4.62, -4.86
-4.83, -7.43, -4.75
-5.07, -4.74, -7.29
-2.50, -7.45, -7.35
-2.40, -4.99, -4.99
0.08, -7.49, -4.93
-0.20, -4.80, -7.48
2.60, -7.38, -7.53
2.51, -4.88, -5.03
4.73, -7.55, -4.77
4.82, -5.08, -7.46
-7.57, -2.40, -7.44
-7.40, -0.03, -4.98
-4.96, -2.46, -4.89
-4.78, 0.03, -7.27
-2.27, -2.35, -7.49
-2.40, -0.02, -4.86
0.04, -2.48, -4.77
-0.04, -0.02, -7.48
2.45, -2.62, -7.49
2.61, -0.11, -4.96
5.08, -2.48, -4.90
4.86, 0.03, -7.38
-7.40, 2.39, -7.32
-7.22, 4.77, -5.00
-4.72, 2.36, -4.94
-4.91, 5.05, -7.51
-2.60, 2.42, -7.48
-2.53, 5.11, -4.68
0.09, 2.38, -4.91
0.07, 4.87, -7.40
2.54, 2.60, -7.38
2.26, 4.78, -4.97
5.01, 2.56, -4.90
5.03, 5.01, -7.35
-7.46, -7.35, -2.42
-7.25, -4.87, -0.01
-4.90, -7.62, -0.06
-4.84, -4.75, -2.48
-2.59, -7.48, -2.65
-2.29, -4.78, -0.12
0.16, -7.35, -0.05
-0.02, -5.00, -2.55
2.49, -7.33, -2.43
2.26, -4.79, -0.04
4.81, -7.21, 0.03
5.16, -5.05, -2.45
-7.50, -2.30, -2.44
-7.43, -0.00, 0.10
-4.84, -2.41, -0.00
-4.81, 0.22, -2.45
-2.51, -2.65, -2.25
-2.61, 0.02, 0.01
-0.00, -2.45, -0.05
0.05, 0.00, -2.59
2.45, -2.29, -2.27
2.40, -0.00, 0.06
5.10, -2.32, -0.07
4.83, 0.21, -2.62
-7.54, 2.49, -2.55
-7.42, 4.91, -0.03
-4.92, 2.45, 0.09
-4.85, 4.84, -2.39
-2.63, 2.60, -2.66
-2.45, 5.11, 0.09
-0.07, 2.33, -0.14
-0.14, 4.80, -2.14
2.45, 2.17, -2.39
2.68, 5.12, 0.06
5.03, 2.52, -0.08
4.91, 4.85, -2.57
-7.41, -7.46, 2.52
-7.30, -4.95, 4.88
-4.95, -7.59, 4.85
-4.98, -4.83, 2.48
-2.46, -7.28, 2.43
-2.52, -4.87, 5.06
0.03, -7.57, 5.11
0.13, -4.96, 2.55
2.51, -7.46, 2.42
2.28, -4.94, 4.95
5.02, -7.38, 4.83
4.89, -4.93, 2.39
-7.35, -2.51, 2.51
-7.33, -0.08, 5.11
-4.90, -2.48, 4.87
-4.98, 0.04, 2.41
-2.53, -2.32, 2.39
-2.57, -0.05, 4.92
0.15, -2.50, 4.82
-0.09, -0.14, 2.27
2.53, -2.56, 2.47
2.40, 0.22, 4.95
4.76, -2.39, 4.93
4.83, 0.04, 2.57
-7.41, 2.66, 2.59
-7.42, 4.83, 4.93
-4.75, 2.28, 4.90
-4.92, 4.80, 2.25
-2.62, 2.19, 2.60
-2.47, 4.80, 4.85
-0.00, 2.50, 5.09
0.09, 4.88, 2.43
2.42, 2.29, 2.60
2.43, 4.80, 4.89
4.84, 2.47, 4.95
5.06, 5.20, 2.39
 
-7.57, -7.39, -7.42
-7.52, -4.61, -4.85
-4.82, -7.43, -4.74
-5.08, -4.73, -7.29
-2.50, -7.45, -7.34
-2.39, -4.99, -4.99
0.08, -7.49, -4.93
-0.21, -4.79, -7.48
2.60, -7.38, -7.53
2.51, -4.88, -5.03
4.72, -7.55, -4.76
4.81, -5.08, -7.46
-7.58, -2.39, -7.44
-7.40, -0.03, -4.99
-4.96, -2.46, -4.88
-4.78, 0.04, -7.27
-2.26, -2.34, -7.50
-2.40, -0.03, -4.86
0.04, -2.48, -4.76
-0.04, -0.02, -7.49
2.45, -2.63, -7.49
2.61, -0.12, -4.96
5.09, -2.48, -4.90
4.86, 0.03, -7.38
-7.40, 2.38, -7.32
-7.21, 4.76, -5.01
-4.71, 2.36, -4.94
-4.91, 5.05, -7.51
-2.60, 2.42, -7.48
-2.53, 5.12, -4.68
0.09, 2.38, -4.91
0.08, 4.86, -7.40
2.54, 2.60, -7.38
2.26, 4.77, -4.98
5.01, 2.56, -4.89
5.03, 5.01, -7.35
-7.46, -7.35, -2.41
-7.24, -4.87, -0.01
-4.90, -7.62, -0.06
-4.84, -4.74, -2.48
-2.60, -7.49, -2.66
-2.28, -4.78, -0.13
0.17, -7.35, -0.05
-0.02, -5.01, -2.55
2.50, -7.33, -2.43
2.25, -4.79, -0.04
4.81, -7.20, 0.03
5.16, -5.05, -2.45
-7.51, -2.29, -2.44
-7.43, -0.00, 0.10
-4.84, -2.41, -0.01
-4.80, 0.23, -2.45
-2.51, -2.66, -2.24
-2.62, 0.02, 0.01
-0.00, -2.45, -0.06
0.06, 0.00, -2.59
2.45, -2.28, -2.26
2.40, -0.00, 0.06
5.10, -2.31, -0.07
4.82, 0.22, -2.63
-7.55, 2.50, -2.55
-7.42, 4.91, -0.03
-4.92, 2.45, 0.09
-4.84, 4.84, -2.38
-2.63, 2.61, -2.67
-2.45, 5.12, 0.09
-0.08, 2.33, -0.14
-0.14, 4.80, -2.13
2.45, 2.16, -2.39
2.68, 5.12, 0.06
5.03, 2.52, -0.08
4.90, 4.84, -2.57
-7.41, -7.46, 2.52
-7.29, -4.96, 4.88
-4.95, -7.60, 4.85
-4.98, -4.82, 2.48
-2.46, -7.28, 2.42
-2.52, -4.87, 5.06
0.03, -7.58, 5.12
0.13, -4.96, 2.55
2.52, -7.47, 2.41
2.28, -4.94, 4.95
5.02, -7.38, 4.83
4.89, -4.93, 2.38
-7.35, -2.52, 2.51
-7.33, -0.08, 5.12
-4.89, -2.48, 4.86
-4.98, 0.04, 2.41
-2.53, -2.31, 2.38
-2.58, -0.05, 4.92
0.15, -2.50, 4.82
-0.09, -0.15, 2.26
2.54, -2.57, 2.47
2.40, 0.23, 4.95
4.75, -2.39, 4.93
4.83, 0.04, 2.58
-7.41, 2.67, 2.59
-7.43, 4.83, 4.93
-4.74, 2.28, 4.90
-4.92, 4.80, 2.24
-2.63, 2.18, 2.60
-2.47, 4.80, 4.85
-0.00, 2.50, 5.10
0.09, 4.88, 2.43
2.41, 2.28, 2.60
2.43, 4.79, 4.89
4.84, 2.47, 4.95
5.06, 5.21, 2.39
 
-7.58, -7.39, -7.42
-7.52, -4.60, -4.85
-4.82, -7.44, -4.73
-5.08, -4.72, -7.28
-2.50, -7.46, -7.34
-2.39, -4.99, -4.99
0.08, -7.50, -4.93
-0.22, -4.79, -7.49
2.61, -7.37, -7.54
2.51, -4.88, -5.04
4.71, -7.56, -4.76
4.81, -5.09, -7.47
-7.59, -2.39, -7.44
-7.40, -0.04, -4.99
-4.96, -2.46, -4.88
-4.77, 0.04, -7.26
-2.25, -2.34, -7.50
-2.40, -0.03, -4.86
0.04, -2.48, -4.76
-0.04, -0.02, -7.49
2.45, -2.63, -7.50
2.62, -0.12, -4.96
5.09, -2.48, -4.90
4.86, 0.03, -7.38
-7.40, 2.38, -7.32
-7.21, 4.76, -5.01
-4.70, 2.35, -4.94
-4.91, 5.06, -7.52
-2.61, 2.42, -7.48
-2.53, 5.13, -4.67
0.09, 2.37, -4.91
0.08, 4.86, -7.40
2.54, 2.61, -7.38
2.25, 4.77, -4.98
5.01, 2.56, -4.89
5.04, 5.01, -7.35
-7.46, -7.35, -2.41
-7.24, -4.87, -0.01
-4.90, -7.63, -0.07
-4.84, -4.74, -2.48
-2.60, -7.49, -2.67
-2.28, -4.77, -0.13
0.18, -7.35, -0.05
-0.03, -5.01, -2.56
2.50, -7.32, -2.43
2.24, -4.78, -0.04
4.81, -7.19, 0.03
5.17, -5.06, -2.45
-7.51, -2.29, -2.44
-7.44, -0.00, 0.10
-4.83, -2.40, -0.01
-4.80, 0.24, -2.45
-2.51, -2.67, -2.23
-2.62, 0.02, 0.01
-0.00, -2.45, -0.06
0.06, 0.00, -2.59
2.45, -2.28, -2.26
2.39, -0.00, 0.06
5.11, -2.31, -0.07
4.82, 0.23, -2.64
-7.55, 2.50, -2.56
-7.42, 4.91, -0.03
-4.92, 2.45, 0.09
-4.84, 4.83, -2.38
-2.64, 2.61, -2.68
-2.45, 5.12, 0.10
-0.08, 2.32, -0.15
-0.15, 4.79, -2.12
2.45, 2.15, -2.39
2.69, 5.13, 0.07
5.04, 2.52, -0.08
4.90, 4.84, -2.57
-7.41, -7.46, 2.52
-7.29, -4.96, 4.88
-4.95, -7.61, 4.84
-4.98, -4.82, 2.48
-2.46, -7.27, 2.42
-2.52, -4.87, 5.07
0.03, -7.59, 5.12
0.14, -4.96, 2.55
2.52, -7.47, 2.41
2.27, -4.94, 4.95
5.02, -7.37, 4.82
4.89, -4.93, 2.38
-7.35, -2.52, 2.51
-7.33, -0.09, 5.12
-4.89, -2.48, 4.86
-4.99, 0.05, 2.41
-2.53, -2.31, 2.38
-2.58, -0.05, 4.92
0.16, -2.50, 4.82
-0.10, -0.15, 2.25
2.54, -2.57, 2.47
2.40, 0.24, 4.95
4.75, -2.39, 4.93
4.82, 0.05, 2.58
-7.41, 2.68, 2.60
-7.43, 4.82, 4.93
-4.73, 2.27, 4.90
-4.92, 4.79, 2.23
-2.63, 2.17, 2.61
-2.47, 4.79, 4.84
-0.00, 2.50, 5.11
0.09, 4.88, 2.43
2.41, 2.28, 2.61
2.43, 4.79, 4.89
4.84, 2.48, 4.95
5.07, 5.22, 2.38
 
-7.58, -7.39, -7.42
-7.53, -4.59, -4.85
-4.82, -7.44, -4.72
-5.09, -4.71, -7.28
-2.50, -7.46, -7.34
-2.39, -4.99, -4.99
0.09, -7.50, -4.93
-0.23, -4.78, -7.49
2.61, -7.37, -7.54
2.52, -4.87, -5.04
4.70, -7.57, -4.75
4.81, -5.10, -7.47
-7.59, -2.39, -7.45
-7.40, -0.04, -4.99
-4.96, -2.45, -4.88
-4.77, 0.04, -7.26
-2.24, -2.33, -7.50
-2.40, -0.03, -4.85
0.04, -2.48, -4.75
-0.05, -0.02, -7.49
2.45, -2.64, -7.50
2.62, -0.13, -4.96
5.10, -2.48, -4.90
4.85, 0.04, -7.38
-7.40, 2.38, -7.32
-7.20, 4.75, -5.01
-4.69, 2.35, -4.94
-4.91, 5.06, -7.52
-2.61, 2.41, -7.49
-2.53, 5.13, -4.66
0.10, 2.37, -4.91
0.08, 4.86, -7.40
2.54, 2.61, -7.38
2.24, 4.76, -4.98
5.02, 2.57, -4.89
5.04, 5.02, -7.35
-7.47, -7.35, -2.41
-7.23, -4.87, -0.01
-4.90, -7.64, -0.07
-4.83, -4.73, -2.48
-2.61, -7.49, -2.68
-2.27, -4.76, -0.13
0.18, -7.35, -0.05
-0.03, -5.01, -2.56
2.50, -7.32, -2.43
2.23, -4.78, -0.04
4.80, -7.19, 0.03
5.18, -5.06, -2.45
-7.51, -2.28, -2.44
-7.44, -0.00, 0.11
-4.83, -2.40, -0.01
-4.79, 0.25, -2.45
-2.51, -2.68, -2.22
-2.63, 0.02, 0.01
-0.00, -2.45, -0.06
0.06, 0.00, -2.60
2.45, -2.27, -2.25
2.39, -0.00, 0.06
5.12, -2.30, -0.07
4.81, 0.23, -2.64
-7.56, 2.50, -2.56
-7.42, 4.91, -0.03
-4.92, 2.45, 0.10
-4.84, 4.83, -2.38
-2.64, 2.62, -2.69
-2.45, 5.13, 0.10
-0.08, 2.32, -0.15
-0.15, 4.79, -2.11
2.45, 2.14, -2.39
2.70, 5.14, 0.07
5.04, 2.52, -0.09
4.90, 4.84, -2.58
-7.41, -7.47, 2.52
-7.28, -4.96, 4.88
-4.95, -7.62, 4.84
-4.98, -4.82, 2.48
-2.45, -7.27, 2.42
-2.53, -4.86, 5.08
0.03, -7.59, 5.13
0.14, -4.96, 2.55
2.52, -7.47, 2.41
2.26, -4.94, 4.96
5.03, -7.37, 4.82
4.89, -4.93, 2.38
-7.35, -2.52, 2.51
-7.33, -0.09, 5.13
-4.89, -2.48, 4.86
-4.99, 0.05, 2.40
-2.54, -2.30, 2.38
-2.59, -0.05, 4.92
0.16, -2.51, 4.81
-0.10, -0.16, 2.24
2.54, -2.57, 2.47
2.40, 0.25, 4.95
4.74, -2.38, 4.93
4.82, 0.05, 2.59
-7.41, 2.69, 2.60
-7.43, 4.82, 4.93
-4.73, 2.26, 4.90
-4.92, 4.79, 2.23
-2.64, 2.16, 2.61
-2.47, 4.79, 4.84
-0.00, 2.50, 5.11
0.10, 4.88, 2.43
2.41, 2.27, 2.61
2.42, 4.78, 4.89
4.83, 2.48, 4.95
5.07, 5.23, 2.38
 
-7.59, -7.39, -7.42
-7.53, -4.58, -4.85
-4.81, -7.44, -4.72
-5.09, -4.71, -7.28
-2.50, -7.46, -7.34
-2.39, -5.00, -5.00
0.09, -7.51, -4.93
-0.23, -4.78, -7.49
2.62, -7.37, -7.55
2.52, -4.87, -5.04
4.69, -7.57, -4.75
4.80, -5.10, -7.47
-7.60, -2.39, -7.45
-7.40, -0.04, -4.99
-4.96, -2.45, -4.88
-4.76, 0.04, -7.25
-2.24, -2.33, -7.51
-2.40, -0.03, -4.85
0.04, -2.48, -4.74
-0.05, -0.02, -7.50
2.45, -2.64, -7.50
2.63, -0.13, -4.96
5.11, -2.48, -4.90
4.85, 0.04, -7.38
-7.40, 2.37, -7.31
-7.19, 4.74, -5.02
-4.68, 2.35, -4.94
-4.91, 5.07, -7.53
-2.62, 2.41, -7.49
-2.53, 5.14, -4.65
0.10, 2.37, -4.91
0.09, 4.86, -7.40
2.55, 2.62, -7.38
2.23, 4.76, -4.98
5.02, 2.57, -4.89
5.04, 5.02, -7.34
-7.47, -7.35, -2.41
-7.23, -4.86, -0.01
-4.90, -7.65, -0.07
-4.83, -4.72, -2.48
-2.61, -7.50, -2.68
-2.26, -4.76, -0.14
0.19, -7.35, -0.06
-0.03, -5.02, -2.56
2.50, -7.32, -2.42
2.23, -4.77, -0.05
4.80, -7.18, 0.03
5.19, -5.07, -2.45
-7.52, -2.28, -2.44
-7.44, -0.00, 0.11
-4.83, -2.40, -0.01
-4.79, 0.25, -2.45
-2.51, -2.68, -2.21
-2.63, 0.02, 0.01
-0.00, -2.45, -0.06
0.06, 0.00, -2.60
2.45, -2.26, -2.24
2.39, -0.00, 0.07
5.12, -2.29, -0.08
4.81, 0.24, -2.65
-7.56, 2.50, -2.56
-7.43, 4.91, -0.03
-4.92, 2.45, 0.10
-4.83, 4.83, -2.37
-2.65, 2.62, -2.69
-2.44, 5.14, 0.10
-0.08, 2.31, -0.16
-0.16, 4.78, -2.09
2.45, 2.13, -2.38
2.71, 5.15, 0.07
5.04, 2.53, -0.09
4.90, 4.84, -2.58
-7.41, -7.47, 2.52
-7.28, -4.96, 4.88
-4.95, -7.62, 4.84
-4.99, -4.81, 2.48
-2.45, -7.26, 2.42
-2.53, -4.86, 5.08
0.03, -7.60, 5.14
0.15, -4.96, 2.56
2.52, -7.48, 2.41
2.26, -4.94, 4.96
5.03, -7.37, 4.82
4.88, -4.93, 2.38
-7.35, -2.52, 2.51
-7.32, -0.09, 5.14
-4.89, -2.48, 4.86
-4.99, 0.05, 2.40
-2.54, -2.29, 2.38
-2.59, -0.05, 4.92
0.17, -2.51, 4.81
-0.10, -0.16, 2.24
2.54, -2.58, 2.47
2.39, 0.26, 4.95
4.73, -2.38, 4.93
4.82, 0.05, 2.59
-7.42, 2.70, 2.61
-7.43, 4.82, 4.94
-4.72, 2.26, 4.90
-4.92, 4.78, 2.22
-2.65, 2.15, 2.62
-2.47, 4.79, 4.84
-0.00, 2.50, 5.12
0.10, 4.88, 2.43
2.41, 2.26, 2.62
2.42, 4.78, 4.89
4.83, 2.48, 4.96
5.08, 5.24, 2.38
 
-7.60, -7.39, -7.43
-7.54, -4.57, -4.84
-4.81, -7.44, -4.71
-5.10, -4.70, -7.27
-2.50, -7.46, -7.34
-2.38, -5.00, -5.00
0.09, -7.51, -4.93
-0.24, -4.77, -7.50
2.62, -7.37, -7.55
2.52, -4.87, -5.05
4.69, -7.58, -4.74
4.80, -5.11, -7.47
-7.61, -2.38, -7.45
-7.40, -0.04, -4.99
-4.96, -2.45, -4.88
-4.76, 0.04, -7.25
-2.23, -2.33, -7.51
-2.39, -0.03, -4.85
0.05, -2.48, -4.74
-0.05, -0.02, -7.50
2.45, -2.65, -7.51
2.63, -0.14, -4.96
5.11, -2.49, -4.90
4.85, 0.04, -7.38
-7.40, 2.37, -7.31
-7.19, 4.74, -5.02
-4.68, 2.34, -4.95
-4.91, 5.07, -7.53
-2.62, 2.41, -7.49
-2.54, 5.15, -4.64
0.10, 2.36, -4.91
0.09, 4.85, -7.40
2.55, 2.62, -7.37
2.22, 4.75, -4.98
5.02, 2.58, -4.89
5.05, 5.02, -7.34
-7.47, -7.34, -2.41
-7.22, -4.86, -0.01
-4.90, -7.66, -0.07
-4.83, -4.72, -2.48
-2.62, -7.50, -2.69
-2.26, -4.75, -0.14
0.19, -7.35, -0.06
-0.03, -5.02, -2.57
2.50, -7.32, -2.42
2.22, -4.77, -0.05
4.79, -7.17, 0.03
5.20, -5.07, -2.45
-7.52, -2.27, -2.44
-7.44, -0.00, 0.11
-4.82, -2.40, -0.01
-4.79, 0.26, -2.45
-2.52, -2.69, -2.20
-2.64, 0.02, 0.01
-0.00, -2.45, -0.06
0.06, 0.00, -2.61
2.45, -2.26, -2.24
2.39, -0.00, 0.07
5.13, -2.29, -0.08
4.81, 0.25, -2.65
-7.57, 2.50, -2.57
-7.43, 4.91, -0.04
-4.92, 2.45, 0.10
-4.83, 4.82, -2.37
-2.66, 2.63, -2.70
-2.44, 5.14, 0.11
-0.09, 2.31, -0.16
-0.16, 4.78, -2.08
2.45, 2.12, -2.38
2.72, 5.15, 0.07
5.05, 2.53, -0.09
4.90, 4.83, -2.59
-7.41, -7.47, 2.53
-7.28, -4.96, 4.87
-4.95, -7.63, 4.84
-4.99, -4.81, 2.48
-2.45, -7.26, 2.42
-2.53, -4.86, 5.09
0.04, -7.61, 5.15
0.15, -4.96, 2.56
2.52, -7.48, 2.41
2.25, -4.94, 4.96
5.03, -7.37, 4.81
4.88, -4.93, 2.37
-7.34, -2.52, 2.52
-7.32, -0.10, 5.14
-4.89, -2.48, 4.86
-4.99, 0.05, 2.40
-2.54, -2.29, 2.37
-2.59, -0.05, 4.92
0.17, -2.51, 4.81
-0.11, -0.17, 2.23
2.55, -2.58, 2.47
2.39, 0.27, 4.95
4.73, -2.38, 4.93
4.81, 0.05, 2.59
-7.42, 2.70, 2.61
-7.43, 4.81, 4.94
-4.71, 2.25, 4.90
-4.92, 4.78, 2.21
-2.65, 2.14, 2.62
-2.47, 4.78, 4.84
-0.00, 2.51, 5.13
0.10, 4.88, 2.42
2.41, 2.26, 2.63
2.42, 4.77, 4.88
4.83, 2.48, 4.96
5.08, 5.25, 2.37
 
-7.60, -7.40, -7.43
-7.54, -4.55, -4.84
-4.80, -7.44, -4.70
-5.10, -4.69, -7.27
-2.50, -7.47, -7.34
-2.38, -5.00, -5.00
0.09, -7.51, -4.93
-0.25, -4.77, -7.50
2.63, -7.37, -7.56
2.52, -4.87, -5.05
4.68, -7.58, -4.73
4.79, -5.11, -7.48
-7.62, -2.38, -7.45
-7.40, -0.04, -5.00
-4.96, -2.45, -4.88
-4.75, 0.04, -7.25
-2.22, -2.32, -7.52
-2.39, -0.03, -4.85
0.05, -2.49, -4.73
-0.05, -0.02, -7.50
2.45, -2.66, -7.51
2.64, -0.14, -4.96
5.12, -2.49, -4.89
4.85, 0.04, -7.38
-7.40, 2.37, -7.31
-7.18, 4.73, -5.02
-4.67, 2.34, -4.95
-4.91, 5.08, -7.53
-2.63, 2.41, -7.50
-2.54, 5.15, -4.63
0.11, 2.36, -4.91
0.09, 4.85, -7.40
2.55, 2.63, -7.37
2.22, 4.75, -4.98
5.03, 2.58, -4.89
5.05, 5.03, -7.34
-7.47, -7.34, -2.40
-7.22, -4.86, -0.01
-4.90, -7.67, -0.07
-4.82, -4.71, -2.48
-2.62, -7.50, -2.70
-2.25, -4.75, -0.15
0.20, -7.35, -0.06
-0.03, -5.02, -2.57
2.50, -7.32, -2.42
2.21, -4.76, -0.05
4.79, -7.16, 0.03
5.21, -5.08, -2.45
-7.53, -2.26, -2.44
